Time,NR,NREF,NFIX,NAUTH,LOC_ADD_AVG,LOC_ADD_MAX,LOC_DEL_AVG,LOC_DEL_MAX,CHURN_AVG,CHURN_MAX,CHURN_MIN,LABEL
2001-12-01,21,1.394736842105263,0,5,46.1,378,189.35,1390,-143.25,1,-1284,True
2002-06-01,196,2.5972222222222223,41,10,36.68041237113402,2550,103.47422680412372,2550,-66.79381443298969,425,-1262,True
2002-12-01,207,2.8274647887323945,127,12,92.10731707317073,4776,248.21951219512195,4996,-156.11219512195123,4776,-4996,True
2003-06-01,276,1.879284649776453,120,8,66.74358974358974,3393,323.43956043956047,5928,-256.6959706959707,3393,-5924,True
2003-12-01,477,2.7844905320108206,236,14,135.31712473572938,19880,198.3340380549683,11437,-63.0169133192389,19346,-11143,True
2004-06-01,920,2.7720848056537104,293,17,134.9124726477024,28864,149.72100656455143,17764,-14.808533916849015,28864,-17764,True
2004-12-01,627,2.0363984674329503,293,15,44.450160771704184,4893,99.89228295819936,4873,-55.442122186495176,4893,-4862,False
2005-06-01,517,1.89944576405384,143,21,43.731898238747554,4848,85.77299412915852,3940,-42.04109589041096,4823,-3865,False
2005-12-01,484,2.065236818588025,158,19,54.52092050209205,3021,111.5439330543933,3847,-57.02301255230125,703,-3845,True
2006-06-01,613,2.14324569356301,140,22,78.85148514851485,21119,126.73762376237623,16932,-47.886138613861384,4187,-3163,True
2006-12-01,508,1.5235294117647058,836,18,57.81,3843,126.138,10684,-68.328,3843,-10558,True
2007-06-01,1757,2.324298889516281,1158,35,66.17478510028653,16141,152.8160458452722,57531,-86.64126074498567,16141,-57531,True
2007-12-01,2451,1.9542220847510052,929,38,93.92045920459205,39476,208.3120131201312,67766,-114.39155391553915,27747,-67588,True
2008-06-01,3997,2.3365391897008707,1778,37,106.85595984943538,68656,142.08707653701381,40782,-35.23111668757842,68656,-40782,False
2008-12-01,3167,2.387236084452975,1989,44,129.69594166138236,66861,161.67913760304376,29345,-31.983195941661382,66861,-21445,True
2009-06-01,3520,2.207891733246372,2619,53,77.94439692044483,18041,244.96350156829197,92129,-167.01910464784717,14739,-92129,True
2009-12-01,3243,2.5370846850878173,1877,56,97.52385377942998,22599,198.7134448574969,27433,-101.18959107806691,21214,-25998,False
2010-06-01,3184,2.1387787470261697,2868,66,104.96683512318383,65448,240.5300063171194,65448,-135.56317119393557,65448,-65448,True
2010-12-01,5902,2.4711121392632007,2568,103,405.35087719298247,347133,488.9357860671095,331008,-83.58490887412707,347113,-331004,True
2011-06-01,10480,3.205732620320856,3726,123,234.50684538056487,149873,305.6742939205361,149720,-71.16744853997128,137324,-137328,True
2011-12-01,9994,2.615122522026432,4251,123,118.96756376782487,39989,204.9090178750753,70401,-85.94145410725045,39936,-70214,True
2012-06-01,9097,2.6925969831991172,3992,143,254.58918322295807,87718,323.57781456953643,108745,-68.98863134657837,42190,-43693,True
2012-12-01,6429,2.0896621793243586,3196,138,555.5224534501643,144700,721.6013143483023,144716,-166.078860898138,137914,-137942,False
2013-06-01,6943,2.184208896047578,3730,156,440.87574221578564,1028136,644.7533671252716,1690445,-203.8776249094859,1028136,-1690445,True
2013-12-01,8529,2.3627469355624697,5145,162,570.5237926972909,158991,722.3857479387515,158946,-151.86195524146055,111803,-111821,True
2014-06-01,6570,2.197146118721461,5220,195,1951.3887612922983,1385153,1956.0402694839993,1385195,-4.651508191701118,1383954,-1383954,True
2014-12-01,6512,2.2313353503965985,3941,246,6840.347490347491,1513366,6736.381776061776,1513361,103.96571428571428,1513079,-1513074,False
2015-06-01,6621,1.9709245910729138,3383,245,5381.944841209543,412988,5472.755812186598,413244,-90.81097097705516,398900,-399141,True
2015-12-01,6831,2.364219873558226,2752,265,2444.058762886598,332678,2588.6119293078054,332607,-144.55316642120766,323976,-323860,True
2016-06-01,8037,2.6731179334486783,4203,285,1413.7441220610306,1669389,1516.5363931965983,1669525,-102.79227113556779,1668803,-1668554,False
2016-12-01,7324,2.2927968596663395,4233,267,814.4541460735859,287365,909.4861339923119,129135,-95.03198791872597,287365,-129135,True
2017-06-01,8171,2.498940065523222,4539,231,1400.309517953763,422342,1432.9651992129857,194205,-32.655681259222824,422342,-145361,True
2017-12-01,7066,2.640036769314336,4069,254,908.026049822064,459929,976.95871886121,459899,-68.9326690391459,448229,-434319,False
2018-06-01,6176,2.4432657272756586,8335,208,685.8651685393259,182795,826.2400260543885,207474,-140.3748575150627,156137,-156372,True
2018-12-01,5786,2.2192642637989275,6187,239,1807.4063966626109,465521,1870.4411611333217,468932,-63.03476447071093,310284,-310313,False
2019-06-01,6701,1.6926108718020265,16531,203,507.7794625431617,180383,573.1827052995046,183053,-65.40324275634289,176986,-181286,False
2019-12-01,6876,2.4037746977292835,11015,207,509.01270815074497,167786,616.5427987145779,251100,-107.5300905638329,164655,-251008,False
2020-06-01,8040,2.6587121585642444,6265,199,840.9165834165834,398556,854.3884865134866,398573,-13.471903096903096,273989,-279495,False
2020-12-01,7542,2.9961495267126583,5760,156,435.4525965379494,310146,556.6165113182424,539056,-121.16391478029294,90729,-228910,False
2021-06-01,7240,2.1231631449104365,4336,136,279.3322231473772,133882,330.98071051901195,88414,-51.64848737163475,90616,-80537,False
2021-12-01,6389,2.4627259036144578,4601,143,494.7041810751336,141251,480.8410877082678,135519,13.863093366865765,141251,-130307,False
2022-06-01,6553,2.0942901864706682,2582,128,365.8005217124444,600746,312.0308424121528,353594,53.76967930029154,597381,-144583,False
